Two Stars,2.0 out of 5 stars,nice,Reviewed in India on 21 January 2017,Verified Purchase
doesnt taste good !,2.0 out of 5 stars,bad after taste !!,Reviewed in India on 30 August 2015,N/A
Two Stars,2.0 out of 5 stars,It feel less effective than listernie.,Reviewed in India on 14 April 2015,Verified Purchase
Not Bad,1.0 out of 5 stars,Okay product,Reviewed in India on 6 February 2024,Verified Purchase
Horrible Taste,1.0 out of 5 stars,"Its weird not sweet , not bubblegum, but medicine like.I trusted the brand and went for this. It tastes weird. The CLOSEUP mouthwash series of clove & spice is good , Listerine is Best but Maxfresh is super weird. Never buying again.",Reviewed in India on 20 December 2023,N/A
Not good,1.0 out of 5 stars,"I think Listerine is far better than this .......this is 30% diluted Listerine. not working , worst product.",Reviewed in India on 3 June 2023,Verified Purchase
Bottle Leaks from Bottom,1.0 out of 5 stars,Bottle Leaks from Bottom,Reviewed in India on 28 February 2023,Verified Purchase
बहुत गन्दा taste like kerosin .,1.0 out of 5 stars,very bad quality mouthwash .it's taste like kerosin oil. Please don't go for it.,Reviewed in India on 4 February 2022,Verified Purchase
Not satisfied,1.0 out of 5 stars,No more,Reviewed in India on 9 January 2022,Verified Purchase
Seller selling counterfiet products,1.0 out of 5 stars,"No label, no seal. Looks like a resealed bottle. My mistake i opened the packet so late",Reviewed in India on 3 November 2021,Verified Purchase
Dirty liquid of colgate,1.0 out of 5 stars,Very bad item.vomiting from smell.uneasy feeling after mouth wash.,Reviewed in India on 6 October 2019,Verified Purchase
Bad,1.0 out of 5 stars,Bad item,Reviewed in India on 17 October 2018,Verified Purchase
Worst quality go for listrin instead,1.0 out of 5 stars,Very poor quality its like water with minute medicines go for listrin instead,Reviewed in India on 30 August 2018,Verified Purchase
